OBJECTID,DATE,ID,DAY_MAX_OZONE,DAILY_AQI_VALUE,SITE_NAME,DAILY_OBS_COUNT,PERCENT_COMPLETE,CBSA_CODE,CBSA_NAME,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
195,2020-03-09 0:00:00,60010009,0.036,33,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
196,2020-03-10 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
197,2020-03-11 0:00:00,60010009,0.031,29,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
198,2020-03-12 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
199,2020-03-13 0:00:00,60010009,0.037,34,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
200,2020-03-14 0:00:00,60010009,0.036,33,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
201,2020-03-15 0:00:00,60010009,0.04,37,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
202,2020-03-16 0:00:00,60010009,0.038,35,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
203,2020-03-17 0:00:00,60010009,0.037,34,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
204,2020-03-18 0:00:00,60010009,0.037,34,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
205,2020-03-20 0:00:00,60010009,0.035,32,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
206,2020-03-21 0:00:00,60010009,0.039,36,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
207,2020-03-22 0:00:00,60010009,0.035,32,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
208,2020-03-23 0:00:00,60010009,0.041,38,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
209,2020-03-24 0:00:00,60010009,0.04,37,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
210,2020-03-25 0:00:00,60010009,0.039,36,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
211,2020-03-26 0:00:00,60010009,0.032,30,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
212,2020-03-27 0:00:00,60010009,0.046,43,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
213,2020-03-28 0:00:00,60010009,0.043,40,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
214,2020-03-29 0:00:00,60010009,0.041,38,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
215,2020-03-30 0:00:00,60010009,0.033,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
216,2020-03-31 0:00:00,60010009,0.026,24,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
217,2020-04-01 0:00:00,60010009,0.035,32,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
218,2020-04-02 0:00:00,60010009,0.031,29,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
219,2020-04-03 0:00:00,60010009,0.032,30,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
220,2020-04-04 0:00:00,60010009,0.029,27,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
221,2020-04-05 0:00:00,60010009,0.033,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
222,2020-04-06 0:00:00,60010009,0.03,28,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
223,2020-04-07 0:00:00,60010009,0.035,32,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
224,2020-04-08 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
225,2020-04-09 0:00:00,60010009,0.033,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
226,2020-04-10 0:00:00,60010009,0.035,32,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
227,2020-04-11 0:00:00,60010009,0.037,34,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
228,2020-04-12 0:00:00,60010009,0.04,37,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
229,2020-04-13 0:00:00,60010009,0.039,36,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
230,2020-04-14 0:00:00,60010009,0.042,39,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
231,2020-04-15 0:00:00,60010009,0.034,31,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
232,2020-04-16 0:00:00,60010009,0.029,27,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
233,2020-04-17 0:00:00,60010009,0.039,36,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
234,2020-04-18 0:00:00,60010009,0.04,37,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
235,2020-04-19 0:00:00,60010009,0.038,35,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
236,2020-04-20 0:00:00,60010009,0.037,34,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
237,2020-04-21 0:00:00,60010009,0.031,29,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
238,2020-04-23 0:00:00,60010009,0.028,26,Oakland,20,83,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
239,2020-04-24 0:00:00,60010009,0.032,30,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
240,2020-04-25 0:00:00,60010009,0.025,23,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
241,2020-04-26 0:00:00,60010009,0.036,33,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
242,2020-04-27 0:00:00,60010009,0.032,30,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
243,2020-04-28 0:00:00,60010009,0.024,22,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
244,2020-04-29 0:00:00,60010009,0.024,22,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
245,2020-04-30 0:00:00,60010009,0.038,35,Oakland,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.743065,-122.169935
316,2020-03-01 0:00:00,60010011,0.039,36,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
317,2020-03-02 0:00:00,60010011,0.042,39,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
318,2020-03-03 0:00:00,60010011,0.025,23,Oakland West,24,100,41860,"San Francisco-Oakland-Hayward, CA",Alameda,37.814781,-122.282347
